"","HUMAN_LABEL","AMENITY_CLEAN_CODE"
"1","ac","AC1"
"2","alfresco shower","AC10"
"3","amplifier","AC11"
"4","arcade machine","AC12"
"5","bagels","AC13"
"6","balcony","AC14"
"7","bar","AC15"
"8","basement","AC16"
"9","basketball court","AC17"
"10","bath supplies","AC18"
"11","bath tub","AC19"
"12","accessible","AC2"
"13","bathrobe","AC20"
"14","bbq","AC21"
"15","beachfront","AC22"
"16","bicycle","AC23"
"17","blender","AC24"
"18","bluetooth","AC25"
"19","board games","AC26"
"20","breakfast","AC27"
"21","burners","AC28"
"22","cigars","AC29"
"23","adapter","AC3"
"24","cinema","AC30"
"25","climate control","AC31"
"26","dishwasher","AC32"
"27","electric car charger","AC33"
"28","exercise equipment","AC34"
"29","fan","AC35"
"30","fire pit","AC36"
"31","fireplace","AC37"
"32","freezer","AC38"
"33","fridge","AC39"
"34","air fryer","AC4"
"35","greenhouse","AC40"
"36","hbo","AC41"
"37","hdtv","AC42"
"38","homepod","AC43"
"39","ice","AC44"
"40","karaoke","AC45"
"41","keurig","AC46"
"42","laundry","AC47"
"43","microwave","AC48"
"44","nintendo","AC49"
"45","airplay","AC5"
"46","oven","AC50"
"47","parking","AC51"
"48","patio","AC52"
"49","penthouse","AC53"
"50","pets","AC54"
"51","playstation","AC55"
"52","pool","AC56"
"53","racquetball court","AC57"
"54","radio","AC58"
"55","record player","AC59"
"56","airport transport","AC6"
"57","security system","AC60"
"58","shower","AC61"
"59","smart speaker","AC62"
"60","smoke detector","AC63"
"61","snorkeling equipment","AC64"
"62","sound system","AC65"
"63","steamer","AC66"
"64","sunroom","AC67"
"65","telescope","AC68"
"66","tennis court","AC69"
"67","alarm","AC7"
"68","toaster","AC70"
"69","toaster oven","AC71"
"70","tv","AC72"
"71","utensils","AC73"
"72","volleyball court","AC74"
"73","walkin closet","AC75"
"74","wardrobe","AC76"
"75","waterslide","AC77"
"76","wifi","AC78"
"77","wine equipment","AC79"
"78","alcohol","AC8"
"79","xbox","AC80"
"80","yard","AC81"
"81","yoga","AC82"
"82","alexa","AC9"
