AMENITY_LEMMA,AMENITY_CODE,HUMAN_LABEL
abig,A4545,remove
abnb,A3741,remove
abx,A1905,remove
ac,A229,remove
academy,A2314,remove
accept,A2908,remove
access,A96,remove
accessibleheight,A123,accessible
accessory,A378,remove
accommodate,A3255,remove
account,A1531,remove
accueil,A2239,remove
ace,A2237,remove
acheater,A3500,ac
acid,A2287,remove
acondicionador,A2045,remove
acoustic,A1083,remove
acqua,A2683,remove
acre,A982,remove
act,A981,remove
action,A1064,remove
activate,A3584,remove
acur,A4280,remove
ada,A2937,remove
adam,A3995,remove
adapter,A2563,adapter
adaptor,A2633,remove
addition,A342,remove
additive,A1217,remove
addl,A4665,remove
addon,A2529,remove
adler,A2562,remove
adult,A3390,remove
advance,A3383,remove
adveda,A3035,remove
aeg,A1281,remove
aem,A4605,remove
aesop,A942,remove
affinia,A4822,remove
affinity,A3301,remove
ag,A1735,remove
aga,A2851,remove
age,A3836,remove
agraria,A3529,remove
aid,A15,remove
aide,A470,remove
aidice,A2544,remove
aids,A3439,remove
air,A3,remove
airbnb,A1586,remove
aire,A655,remove
airflow,A3262,remove
airfry,A1246,air fryer
airfryer,A1365,air fryer
airfryergriddle,A1389,air fryer
airfy,A4369,air fryer
airfyer,A1623,air fryer
airplay,A1080,airplay
airplayua,A3265,airplay
airport,A2341,airport transport
airstream,A1168,remove
airtrack,A2097,remove
airtune,A3085,remove
ait,A3933,remove
aiwa,A3071,remove
aiwo,A4854,remove
ak,A1289,remove
ake,A830,remove
alaffia,A359,remove
alafia,A292,remove
alana,A3441,remove
alarm,A208,alarm
alba,A607,remove
alberto,A3627,remove
album,A3739,remove
alchemist,A1363,remove
alchemy,A3885,remove
alechemist,A4970,remove
alex,A3579,alexa
alexa,A287,alexa
alexia,A1139,alexa
alexis,A3157,alexa
alezxa,A1838,alexa
alfalfa,A1528,remove
alfresco,A771,alfresco shower
alga,A2049,remove
algum,A4206,remove
alhiof,A1562,remove
alhit,A1561,remove
alimento,A4233,remove
aliya,A3893,remove
allafah,A4829,remove
allafia,A661,remove
allafoia,A4860,remove
allergy,A3086,remove
allinone,A2430,remove
allinonebotle,A3846,remove
allinonebottle,A3847,remove
allone,A4392,remove
allover,A3999,remove
allow,A2727,remove
allsoft,A4899,remove
allue,A4015,remove
alma,A4683,remove
almond,A2061,remove
alo,A3644,remove
aloe,A532,remove
alof,A3030,remove
aloha,A2915,remove
alpha,A2044,remove
alpicool,A4571,remove
alpine,A3175,remove
alppha,A1594,remove
altec,A3183,remove
alterna,A2564,remove
alterto,A3625,remove
alto,A1998,remove
alum,A4006,remove
aluminum,A4120,remove
aluram,A2566,remove
alva,A4515,remove
am,A4093,remove
ama,A3352,remove
amada,A3551,remove
amana,A309,remove
amanda,A3444,remove
amanna,A3894,remove
amaufa,A3952,remove
amazon,A1242,remove
amazonbasic,A3130,remove
amazond,A1993,remove
amber,A1496,remove
ambiance,A4975,remove
ambre,A4964,remove
amenites,A1666,remove
amenitites,A4915,remove
amenity,A611,remove
amenof,A4522,remove
amentity,A1957,remove
amenty,A2588,remove
americana,A3814,remove
amfm,A2546,remove
amika,A3424,remove
amio,A507,remove
ammenity,A3075,remove
amount,A434,remove
amp,A1095,remove
amplifier,A4804,amplifier
ampp,A4939,remove
amway,A2050,remove
analog,A3865,record player
andalout,A4893,remove
andor,A1479,remove
angel,A2580,remove
anger,A4437,remove
angle,A1903,remove
animal,A1133,remove
anker,A2334,remove
annex,A4318,remove
answer,A3257,remove
anthony,A3238,remove
antincendio,A2676,remove
apartment,A520,remove
aperion,A4379,remove
apothecare,A1461,remove
apothecary,A415,remove
apotheke,A1160,remove
app,A576,remove
appelle,A3796,remove
appetizerplatter,A3234,remove
apple,A302,remove
appliance,A1116,remove
applinace,A4820,remove
apre,A4457,remove
aqua,A1541,remove
aquage,A1962,remove
arb,A2769,remove
arbonne,A3052,remove
arc,A2514,remove
arcade,A687,arcade machine
archive,A2789,remove
arcondicionado,A3859,remove
arctica,A2645,remove
area,A163,remove
argan,A718,remove
arganoil,A3118,remove
argon,A2565,remove
aria,A1037,remove
arm,A1933,remove
armazenar,A4205,remove
armer,A1619,remove
armhammer,A4700,remove
armor,A3660,remove
aroma,A2214,remove
aromachologie,A4669,remove
aromatherapy,A1777,remove
aromatherapybbw,A4218,remove
arredi,A2711,remove
arrival,A1585,remove
arrive,A3381,remove
art,A2490,remove
article,A2071,remove
artisan,A679,remove
artistry,A2527,remove
artnatrural,A3465,remove
artnatural,A3334,remove
arts,A2612,remove
asciugatrice,A2697,remove
asco,A4651,remove
asheville,A316,remove
asia,A2623,remove
asope,A4222,remove
aspo,A4193,remove
assie,A3527,remove
assistant,A1430,smart speaker
assortment,A454,remove
atarter,A2894,remove
atmo,A841,remove
atomicage,A3300,remove
atomy,A1608,remove
atrue,A2293,remove
attach,A3244,remove
attitude,A3392,remove
atwood,A4529,remove
audio,A683,remove
audiophile,A2105,sound system
audiotechnica,A1435,record player
august,A4781,remove
ausie,A2367,remove
ausop,A2427,remove
aussie,A585,remove
austin,A814,remove
austria,A4337,remove
auto,A1753,remove
automation,A3486,sound system
autosafety,A4705,remove
aux,A221,sound system
auxbluetooth,A4921,sound system
auzie,A4775,remove
av,A1545,remove
avada,A1070,remove
avail,A2446,remove
availability,A457,remove
avalon,A2725,remove
avana,A3008,remove
avant,A3849,remove
avantco,A4911,remove
ave,A618,remove
aveda,A320,remove
aveeno,A2112,remove
avena,A1449,remove
aveo,A3757,remove
avida,A5013,remove
avion,A1362,remove
avocadue,A1582,remove
avon,A4052,remove
avr,A2934,remove
awapuhi,A1960,remove
ax,A3919,remove
axe,A1121,remove
axehammer,A4747,remove
axel,A3948,remove
axion,A3784,remove
ay,A493,remove
aytag,A1550,remove
b,A1601,remove
ba,A2998,remove
babo,A3531,remove
babor,A691,remove
baborus,A2353,remove
baby,A66,remove
babysitter,A61,remove
back,A3425,remove
backdrop,A3050,remove
backgammon,A2621,board games
backup,A3399,remove
backyard,A92,yard
bacteria,A1655,remove
badescu,A1720,remove
bady,A3957,remove
bag,A2115,remove
bagel,A1569,bagels
bahama,A1755,remove
bailmain,A3974,remove
bake,A380,remove
bakes,A825,remove
baking,A201,remove
balance,A2219,remove
balcone,A2695,balcony
balcony,A91,balcony
